HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
9,4,5,7,3,9,1,12,1,0,1547.8911765171601,1294.25773338965,1
4,6,9,7,5,5,6,8,2,1,1595.69759786573,1686.62189477513,1
4,10,5,8,11,3,10,3,1,1,1446.1662160617002,1702.4695288224,1
4,9,2,11,9,3,7,5,1,2,1343.31514263091,1662.72672289284,1
9,5,3,8,9,3,8,5,1,2,1489.3674505865301,1605.81249729686,1
3,10,2,10,6,5,7,6,1,3,1311.8777783801402,1402.50814528917,0
9,5,4,5,13,1,5,8,0,2,1489.79096765961,1581.6548290323901,0
12,3,4,5,11,2,7,7,1,3,1602.6163928322198,1654.15458554593,0
10,4,3,10,8,3,7,6,1,2,1579.97299387612,1529.4379679857097,0
6,8,6,6,7,4,8,6,1,2,1457.10413646299,1451.14059469969,0
3,10,1,12,5,9,5,5,0,2,1281.3287775535,1427.36511724437,0
8,4,4,10,10,4,5,6,1,2,1401.4127414918398,1575.9265907519198,1
4,9,2,11,9,3,8,6,1,1,1297.32548485994,1566.45221717833,1
4,10,2,11,7,3,8,7,1,3,1347.11222866291,1615.57742407921,0
4,10,2,10,7,5,4,10,1,2,1289.156550682,1474.41874687336,1
11,2,2,9,5,5,6,9,2,0,1436.06847604706,1685.22596212569,1
8,4,8,6,6,5,7,7,3,2,1460.06331329957,1389.7512486913001,1
9,2,7,7,5,9,6,5,1,2,1517.16803232632,1432.11105570763,0
8,4,7,6,10,4,6,6,2,2,1528.42325712661,1570.76219244218,0
4,8,4,11,4,10,6,8,0,2,1312.6003048598,1449.54799538046,0
10,4,5,7,11,4,2,9,2,2,1546.6847125982401,1582.7469779025698,1
9,6,4,5,10,4,4,10,0,2,1494.8061219197598,1576.77102214452,0
4,9,4,11,9,5,4,8,0,2,1312.31976273317,1491.3425077383301,0
9,4,4,10,4,6,9,8,2,2,1402.1774611450799,1595.50613335815,1
11,4,10,3,12,3,5,5,1,2,1701.2206318691199,1648.70344446093,0
8,3,8,7,10,4,4,11,3,1,1553.63040161442,1573.04818920353,1
4,11,2,11,6,5,8,7,1,2,1347.81599651502,1401.00328880477,0
12,2,2,9,6,8,6,7,2,0,1439.7593920167599,1445.44521432898,1
10,3,8,6,8,4,7,7,1,1,1549.2792485245498,1517.04664043213,1
12,2,7,7,11,4,2,10,3,1,1657.26050438908,1582.70890149496,1
9,4,8,6,7,5,4,11,3,1,1483.6898332325,1517.5652586008403,1
11,4,6,6,5,9,6,6,2,2,1580.3157044189402,1405.88416990409,1
13,3,5,5,4,10,2,11,2,1,1653.85455888057,1276.5515609409802,1
10,3,7,5,4,6,9,9,2,1,1659.05570824555,1598.5148919378,1
14,1,5,8,9,6,4,6,2,0,1596.15570965392,1401.60847450839,1
3,11,1,12,9,2,8,7,0,1,1290.19098259779,1505.38520832012,0
6,5,6,9,10,4,5,8,1,2,1670.79137009718,1556.2742172989301,1
9,3,8,7,11,4,11,3,1,1,1499.87170255521,1702.3516219435598,0
10,4,4,10,3,11,1,13,3,0,1396.89654410255,1309.09959350874,1
10,5,4,8,9,6,4,7,3,0,1524.8229939811702,1407.7388479693,1
5,10,2,11,4,9,4,12,2,0,1282.31630545252,1323.6186825664302,1
13,2,2,9,4,9,2,12,3,1,1446.17932348971,1309.71584378483,1
12,3,7,7,11,4,12,3,2,2,1712.40909277036,1614.79374330357,0
10,4,8,6,13,3,5,6,3,2,1486.85301608693,1530.37644487538,1
9,4,7,7,10,4,5,9,1,1,1448.8314072029098,1548.0262113232002,1
11,4,4,11,10,3,7,6,2,1,1530.8929754957,1661.12747126574,1
14,2,5,8,4,10,7,8,2,3,1536.80431115303,1455.53135401172,0
7,5,8,7,11,4,2,11,2,0,1406.9905800824,1509.8310179874697,1
5,6,9,9,5,9,6,7,1,1,1596.11503701154,1421.0432775445902,1
7,6,4,11,8,3,9,7,0,3,1379.3807494407902,1509.1468296500598,0
7,5,6,9,11,4,6,7,2,2,1680.44231376478,1580.02339753936,1
7,8,6,7,4,11,2,12,1,0,1409.07737327441,1353.21930249027,1
4,11,1,13,13,2,2,10,1,2,1307.27814945328,1427.8163180658498,1
11,4,4,10,9,3,8,8,3,1,1399.11173027455,1486.50034202105,1
9,3,9,7,4,9,2,13,3,1,1556.8757496720498,1302.28521098144,1
5,10,7,8,7,6,4,12,3,0,1457.30404788617,1416.10371026935,1
10,6,4,8,4,9,5,12,2,1,1508.12423958137,1311.6859868030901,0
5,11,2,11,13,3,6,6,1,2,1284.26353160498,1641.9458820020402,0
11,3,8,6,10,3,7,7,2,1,1553.051099694,1663.15983062358,1
9,5,7,7,5,9,7,7,1,1,1492.1193244686901,1456.5830767415803,0
14,3,5,8,10,4,9,6,1,3,1535.95838492931,1503.9572425597303,0
11,4,5,9,11,4,12,4,1,2,1539.4239845298,1684.12969745614,1
7,6,8,7,12,3,8,7,2,2,1412.34437416941,1706.52985213684,0
10,7,4,8,11,4,7,7,1,2,1507.3472234061999,1575.89309797629,0
10,6,4,7,9,3,9,8,1,2,1495.32920025611,1631.11683608514,1
9,6,7,7,7,5,7,9,1,3,1504.24615889409,1670.00179499936,0
11,3,7,7,9,3,8,9,1,0,1658.60234346183,1481.6662401469698,1
8,8,6,7,5,6,9,10,2,1,1440.5408418197303,1609.12814482806,1
5,11,1,13,11,4,2,12,2,0,1296.6047405163001,1576.44288890026,1
11,5,4,10,4,11,3,12,2,1,1422.8350955829098,1348.37671184405,0
6,10,7,8,4,9,2,14,3,0,1453.9847731600598,1314.16164703789,1
5,12,2,11,14,3,6,8,1,1,1284.9883106477198,1630.60154561746,0
13,3,2,10,7,6,9,7,1,2,1453.94023412917,1415.9793204425303,0
12,3,8,6,11,4,12,5,3,1,1566.5936021561,1693.18298296594,1
11,4,9,6,4,9,5,13,3,1,1537.9283860210999,1325.1506808162899,1
11,5,4,11,5,9,8,7,1,2,1535.05791669352,1462.23137285449,0
8,6,4,12,11,4,7,8,1,1,1473.95912281292,1582.23918520599,1
10,7,4,7,13,3,7,6,1,2,1497.64579233021,1603.02193610225,0
13,3,8,7,9,6,7,8,2,0,1716.9702524583,1485.74334127504,1
8,5,7,9,5,6,9,11,3,1,1673.87757487579,1605.1137478618,1
9,4,8,9,11,4,6,9,0,2,1473.3610605218398,1553.5113794812,0
12,4,2,12,7,6,9,8,1,1,1556.55396814669,1426.52758915876,1
4,10,5,13,5,11,2,13,1,3,1314.48056780206,1322.3669663555302,0
12,3,7,7,4,11,3,13,2,1,1660.03705189501,1341.42465318657,1
12,5,4,10,14,3,6,9,2,1,1428.93018145655,1656.84809080516,1
5,9,2,14,8,6,4,13,1,1,1306.4082337289,1472.5609024927498,1
7,10,7,8,11,4,7,9,3,1,1467.35562883112,1553.8254681819299,1
13,3,8,6,13,3,2,11,3,0,1568.80155649871,1437.15642842682,1
11,5,9,6,5,12,3,11,2,1,1545.6026046494198,1257.91230545661,0
9,4,9,8,5,11,3,13,1,3,1626.6473158338902,1327.42898370237,0
4,12,3,13,7,10,8,8,1,3,1348.08468723741,1462.43227301109,0
